Grade;Zx;Zy;Strain;Stress;Area
B30;-0.025;-0.175;-0.0015349136485702185;-15.124378206425678;0.0025
B30;0.025;-0.175;-0.0011542898342779438;-13.589380847235791;0.0025
B30;0.075;-0.175;-0.0007736660199856693;-12.054383488045902;0.0025
B30;0.125;-0.175;-0.00039304220569339463;-10.519386128856013;0.0025
B30;0.175;-0.175;-1.2418391401120026e-05;-0.40359772053640086;0.0025
B30;0.225;-0.175;0.00036820542289115474;0.0;0.0025
B30;-0.225;-0.125;-0.0027418750043547396;-17.0;0.0025
B30;-0.175;-0.125;-0.002361251190062465;-17.0;0.0025
B30;-0.125;-0.125;-0.0019806273757701906;-16.92187318313588;0.0025
B30;-0.075;-0.125;-0.0016000035614779156;-15.386875823945989;0.0025
B30;-0.025;-0.125;-0.001219379747185641;-13.851878464756101;0.0025
B30;0.025;-0.125;-0.0008387559328933665;-12.316881105566214;0.0025
B30;0.075;-0.125;-0.0004581321186010918;-10.781883746376323;0.0025
B30;0.125;-0.125;-7.750830430881716e-05;-2.519019890036558;0.0025
B30;0.175;-0.125;0.00030311550998345733;0.0;0.0025
B30;0.225;-0.125;0.0006837393242757322;0.0;0.0025
B30;-0.225;-0.075;-0.002426341102970162;-17.0;0.0025
B30;-0.175;-0.075;-0.0020457172886778874;-17.0;0.0025
B30;-0.125;-0.075;-0.001665093474385613;-15.649373441466299;0.0025
B30;-0.075;-0.075;-0.0012844696600933382;-14.11437608227641;0.0025
B30;-0.025;-0.075;-0.0009038458458010638;-12.579378723086524;0.0025
B30;0.025;-0.075;-0.000523222031508789;-11.044381363896633;0.0025
B30;0.075;-0.075;-0.00014259821721651438;-4.634442059536718;0.0025
B30;0.125;-0.075;0.00023802559707576028;0.0;0.0025
B30;0.175;-0.075;0.0006186494113680348;0.0;0.0025
B30;0.225;-0.075;0.0009992732256603096;0.0;0.0025
B30;-0.225;-0.025;-0.0021108072015855847;-17.0;0.0025
B30;-0.175;-0.025;-0.00173018338729331;-15.91187105898661;0.0025
